Player Name,Wickets,Bowl_Innings,Eco_Median,Bowl_Avg,Runs,Bat_Innings,SR_Median,Bat_Avg
Daryl Joseph Mitchell,20.0,27.0,9.0,30.4,2077.0,78.0,130.77,26.63
Tom Banton,0.0,0.0,12.0,99.0,2065.0,71.0,133.33,29.08
Jason Holder,131.0,111.0,9.33,27.88,1254.0,81.0,127.27,15.48
Finn Allen,0.0,0.0,12.0,99.0,1772.0,67.0,156.6,26.45
Jake McGurk,0.0,0.0,12.0,99.0,1397.0,60.0,128.57,23.28
Jonny Bairstow,0.0,0.0,12.0,99.0,1133.0,41.0,143.33,27.63
Matt Henry,81.0,52.0,7.38,19.1,73.0,12.0,87.5,6.08
Wanindu Hasaranga,152.0,101.0,7.25,18.21,1066.0,74.0,122.5,14.41
James Vince,0.0,0.0,12.0,99.0,3827.0,117.0,126.67,32.71
Adam Milne,55.0,40.0,8.25,23.25,79.0,16.0,70.84,4.94
Maheesh Theekshana,113.0,115.0,7.5,29.21,183.0,46.0,50.0,3.98
Devon Conway,0.0,0.0,12.0,99.0,2122.0,70.0,116.23,30.31
Ben Duckett,0.0,0.0,12.0,99.0,567.0,20.0,136.73,28.35
Spencer Johnson,87.0,68.0,7.62,21.91,94.0,20.0,100.0,4.7
Alzarri Joseph,118.0,97.0,9.0,26.99,253.0,38.0,90.91,6.66
Sean Abbott,89.0,62.0,8.75,21.17,346.0,35.0,125.0,9.89
Glenn Maxwell,51.0,70.0,7.58,27.41,2363.0,96.0,150.0,24.61
Moeen Ali,86.0,106.0,8.0,23.71,1697.0,105.0,109.52,16.16
Anrich Nortje,71.0,60.0,8.5,26.62,105.0,20.0,100.0,5.25
Chris Jordan,121.0,111.0,8.75,26.84,780.0,76.0,119.09,10.26
Rassie van der Dussen,0.0,0.0,12.0,99.0,2062.0,71.0,121.62,29.04
Harry Brook,0.0,0.0,12.0,99.0,830.0,38.0,123.22,21.84
Quinton de Kock,0.0,0.0,12.0,99.0,3124.0,118.0,123.61,26.47
Naveen ul Haq,119.0,100.0,9.29,26.9,174.0,33.0,50.0,5.27
Gus Atkinson,38.0,36.0,7.94,27.79,65.0,15.0,100.0,4.33
Tymal Mills,77.0,60.0,8.5,25.61,87.0,21.0,100.0,4.14
Faf du Plessis,0.0,0.0,12.0,99.0,3604.0,108.0,137.36,33.37
Mustafizur Rahman,113.0,90.0,7.75,21.7,49.0,20.0,50.0,2.45
Josh Inglis,0.0,0.0,12.0,99.0,1531.0,67.0,136.84,22.85
Mujeeb Ur Rahman,85.0,80.0,7.0,25.49,167.0,23.0,100.0,7.26
Adam Zampa,115.0,81.0,7.33,20.96,80.0,23.0,77.78,3.48
FazalHaq Farooqi,139.0,103.0,7.64,20.55,43.0,22.0,50.0,1.95
Liam Livingstone,47.0,62.0,9.0,28.64,1888.0,83.0,137.04,22.75
