Player Name,Past_Price_2025,Past_Team_2025,Sold_2025
Daryl Joseph Mitchell,,,
Tom Banton,0.0,,True
Jason Holder,0.0,,True
Finn Allen,0.0,,True
Jake McGurk,,,
Jonny Bairstow,0.0,,True
Matt Henry,0.0,,True
Wanindu Hasaranga,5.25,RR,True
James Vince,0.0,,True
Adam Milne,0.0,,True
Maheesh Theekshana,4.4,RR,True
Devon Conway,6.25,CSK,True
Ben Duckett,0.0,,True
Spencer Johnson,2.8,KKR,True
Alzarri Joseph,0.0,,True
Sean Abbott,0.0,,True
Glenn Maxwell,4.2,PBKS,True
Moeen Ali,2.0,KKR,True
Anrich Nortje,6.5,KKR,True
Chris Jordan,0.0,,True
Rassie van der Dussen,,,
Harry Brook,6.25,DC,True
Quinton de Kock,3.6,KKR,True
Naveen ul Haq,,,
Gus Atkinson,0.0,,True
Tymal Mills,0.0,,True
Faf du Plessis,2.0,DC,True
Mustafizur Rahman,0.0,,True
Josh Inglis,2.6,PBKS,True
Mujeeb Ur Rahman,0.0,,True
Adam Zampa,2.4,SRH,True
FazalHaq Farooqi,,,
Liam Livingstone,8.75,RCB,True
Rahmanullah Gurbaz,2.0,KKR,True
Rilee Rossouw,,,
Thomas Curran,,,
Umesh Yadav,0.0,,True
Venkatesh Iyer,23.75,KKR,True
William ORourke,0.0,,True
Kyle Mayers,0.0,,True
Jason Behrendorff,0.0,,True
Michael Bracewell,0.0,,True
David Miller,7.5,LSG,True
Daniel Sams,0.0,,True
Rachin Ravindra,4.0,CSK,False
Sam Billings,0.0,,True
Akeal Hosein,0.0,,True
Mark Chapman,,,
Kyle Jamieson,0.0,,True
Daniel Worrall,,,
Matty Potts,,,
Riley Meredith,,,
Jhye Richardson,0.0,,True
Cameron Green,,,
Lance Morris,0.0,,True
Shai Hope,0.0,,True
Tim Seifert,0.0,,True
Gerald Coetzee,2.4,GT,True
Sikandar Raza,0.0,,True
Matheesha Pathirana,0.0,CSK,False
Andre Russell,0.0,KKR,False
Benjamin Sears,,,
Dan Lawrence,,,
Lungi Ngidi,1.0,RCB,True
Chris Green,,,
David Payne,,,
Ashton Turner,0.0,,True
Ravi Bishnoi,0.0,LSG,False
Mayank Agarwal,,,
Rahul Chahar,3.2,SRH,True
Akash Deep,8.0,LSG,True
Krishnappa Gowtham,0.0,,True
Karim Janat,0.75,GT,True
Patrick Kruger,0.0,,True
Matthew Short,0.0,,True
Kyle Verreynne,,,
Dwaine Pretorius,0.0,,True
Roston Chase,0.0,,True
Nangeyalia Kharote,0.0,,True
Lizaad Williams,0.75,MI,True
Ben Dwarshuis,,,
Reece Topley,0.75,MI,True
Josh Philippe,0.0,,True
Ben McDermott,0.0,,True
Blessing Muzarabani,0.0,,True
Joshua Little,0.0,,True
Waqar Salamkheil,0.0,,True
Cooper Connolly,,,
Nqabayomzi Peter,,,
Jeffrey Vandersay,0.0,,True
Ottneil Baartman,0.0,,True
Shamar Joseph,0.75,LSG,False
Mikyle Louis,,,
Alick Athanaze,,,
Luke Wood,0.0,,True
Hilton Cartwright,,,
Pathum Nissanka,0.0,,True
Brandon King,0.0,,True
Sediqullah Atal,0.0,,True
Kusal Perera,0.0,,True
