Player Name,Bowl_Style,Bat_Style,Bat_Hand,DOB,Is_Keeper,Age
Daryl Joseph Mitchell,Right-arm medium,Right-hand bat,R,20/05/91,0.0,34.0
Tom Banton,Right-arm offbreak,Right-hand bat,R,11/11/98,1.0,27.0
Jason Holder,Right-arm medium-fast,Right-hand bat,R,05/11/91,0.0,34.0
Finn Allen,,Right-hand bat,R,22/04/99,1.0,26.0
Jake McGurk,Right-arm Leg-Break,Right-hand bat,R,11/04/02,0.0,23.0
Jonny Bairstow,Right-arm medium,Right-hand bat,R,26/09/89,1.0,36.0
Matt Henry,Right-arm fast-medium,Right-hand bat,R,14/12/91,0.0,33.0
Wanindu Hasaranga,Right-arm Leg-Break,Right-hand bat,R,29/07/97,0.0,28.0
James Vince,Right-arm medium,Right-hand bat,R,14/03/91,0.0,34.0
Adam Milne,Right-arm Fast,Right-hand bat,R,13/04/92,0.0,33.0
Maheesh Theekshana,Right-arm offbreak,Right-hand bat,R,01/08/00,0.0,25.0
Devon Conway,Right-arm medium,Left-hand bat,L,08/07/91,1.0,34.0
Ben Duckett,Right-arm offbreak,Left-hand bat,L,17/10/94,0.0,31.0
Spencer Johnson,Left-arm fast-medium,Left-hand bat,L,16/12/95,0.0,29.0
Alzarri Joseph,Right-arm fast-medium,Right-hand bat,R,20/11/96,0.0,29.0
Sean Abbott,Right-arm fast-medium,Right-hand bat,R,29/02/92,0.0,33.0
Glenn Maxwell,Right-arm offbreak,Right-hand bat,R,14/10/88,0.0,37.0
Moeen Ali,Right-arm offbreak,Left-hand bat,L,18/06/87,0.0,38.0
Anrich Nortje,Right-arm Fast,Right-hand bat,R,16/11/93,0.0,32.0
Chris Jordan,Right-arm fast-medium,Right-hand bat,R,04/10/88,0.0,37.0
Rassie van der Dussen,Right-arm Leg-Break,Right-hand bat,R,07/02/89,0.0,36.0
Harry Brook,Right-arm medium,Right-hand bat,R,22/02/99,0.0,26.0
Quinton de Kock,,,,,,
Naveen ul Haq,Right-arm medium-fast,Right-hand bat,R,23/09/99,0.0,26.0
Gus Atkinson,Right-arm medium,Right-hand bat,R,18/01/98,0.0,27.0
Tymal Mills,Left-arm Fast,Right-hand bat,R,12/08/92,0.0,32.0
Faf du Plessis,Right-arm Leg-Break,Right-hand bat,R,13/07/84,0.0,41.0
Mustafizur Rahman,Left-arm fast-medium,Left-hand bat,L,06/09/95,0.0,30.0
Josh Inglis,,Right-hand bat,R,04/03/95,1.0,30.0
Mujeeb Ur Rahman,Right-arm offbreak,Right-hand bat,R,28/03/01,0.0,24.0
Adam Zampa,Right-arm Leg-Break,Right-hand bat,R,31/03/92,0.0,33.0
FazalHaq Farooqi,Left-arm medium,Right-hand bat,R,22/09/00,0.0,25.0
Liam Livingstone,Right-arm Leg-Break,Right-hand bat,R,04/08/93,0.0,32.0
Rahmanullah Gurbaz,Left-arm Chinaman,Right-hand bat,R,28/11/01,1.0,23.0
Rilee Rossouw,Right-arm offbreak,Left-hand bat,L,09/10/89,0.0,36.0
Thomas Curran,Right-arm fast-medium,Right-hand bat,R,12/03/95,0.0,29.0
Umesh Yadav,Right-arm fast-medium,Right-hand bat,R,25/10/87,0.0,38.0
Venkatesh Iyer,Right-arm medium,Left-hand bat,L,25/12/94,0.0,30.0
William ORourke,Right-arm Fast,Right-hand bat,R,06/08/01,0.0,24.0
Kyle Mayers,Right-arm medium,Left-hand bat,L,08/09/92,0.0,33.0
Jason Behrendorff,Left-arm fast-medium,Right-hand bat,R,20/04/90,0.0,35.0
Michael Bracewell,Right-arm offbreak,Left-hand bat,L,14/02/91,0.0,34.0
David Miller,Right-arm offbreak,Left-hand bat,L,10/06/89,0.0,36.0
Daniel Sams,Left-arm fast-medium,Right-hand bat,R,27/10/92,0.0,33.0
Rachin Ravindra,Slow left-arm orthodox,Left-hand bat,L,18/11/99,0.0,26.0
Sam Billings,Right-arm medium,Right-hand bat,R,14/06/91,1.0,34.0
Akeal Hosein,Slow left-arm orthodox,Left-hand bat,L,25/04/93,0.0,32.0
Mark Chapman,Slow left-arm orthodox,Left-hand bat,L,27/06/94,0.0,31.0
Kyle Jamieson,Right-arm medium,Right-hand bat,R,30/12/94,0.0,30.0
