Player Name,Base Price,Category,Bowl_Style,Bat_Style,Bat_Hand,Age,Is_Keeper,Wickets,Bowl_Innings,Eco_Median,Bowl_Avg,Runs,Bat_Innings,SR_Median,Bat_Avg,Past_Price_2025,Past_Team_2025,Sold_2025,Retained
Daryl Joseph Mitchell,1.0,Overseas,Right-arm medium,Right-hand bat,R,34.0,0.0,20.0,27.0,9.0,30.4,2077.0,78.0,130.77,26.63,0.0,None,False,False
Tom Banton,1.0,Overseas,Right-arm offbreak,Right-hand bat,R,27.0,1.0,0.0,0.0,12.0,99.0,2065.0,71.0,133.33,29.08,0.0,None,True,False
Jason Holder,1.0,Overseas,Right-arm medium-fast,Right-hand bat,R,34.0,0.0,131.0,111.0,9.33,27.88,1254.0,81.0,127.27,15.48,0.0,None,True,False
Finn Allen,1.0,Overseas,,Right-hand bat,R,26.0,1.0,0.0,0.0,12.0,99.0,1772.0,67.0,156.6,26.45,0.0,None,True,False
Jake McGurk,1.0,Overseas,Right-arm Leg-Break,Right-hand bat,R,23.0,0.0,0.0,0.0,12.0,99.0,1397.0,60.0,128.57,23.28,0.0,None,False,False
Jonny Bairstow,1.0,Overseas,Right-arm medium,Right-hand bat,R,36.0,1.0,0.0,0.0,12.0,99.0,1133.0,41.0,143.33,27.63,0.0,None,True,False
Matt Henry,1.0,Overseas,Right-arm fast-medium,Right-hand bat,R,33.0,0.0,81.0,52.0,7.38,19.1,73.0,12.0,87.5,6.08,0.0,None,True,False
Wanindu Hasaranga,1.0,Overseas,Right-arm Leg-Break,Right-hand bat,R,28.0,0.0,152.0,101.0,7.25,18.21,1066.0,74.0,122.5,14.41,5.25,RR,True,False
James Vince,1.0,Overseas,Right-arm medium,Right-hand bat,R,34.0,0.0,0.0,0.0,12.0,99.0,3827.0,117.0,126.67,32.71,0.0,None,True,False
Adam Milne,1.0,Overseas,Right-arm Fast,Right-hand bat,R,33.0,0.0,55.0,40.0,8.25,23.25,79.0,16.0,70.84,4.94,0.0,None,True,False
Maheesh Theekshana,1.0,Overseas,Right-arm offbreak,Right-hand bat,R,25.0,0.0,113.0,115.0,7.5,29.21,183.0,46.0,50.0,3.98,4.4,RR,True,False
Devon Conway,1.0,Overseas,Right-arm medium,Left-hand bat,L,34.0,1.0,0.0,0.0,12.0,99.0,2122.0,70.0,116.23,30.31,6.25,CSK,True,False
Ben Duckett,1.0,Overseas,Right-arm offbreak,Left-hand bat,L,31.0,0.0,0.0,0.0,12.0,99.0,567.0,20.0,136.73,28.35,0.0,None,True,False
Spencer Johnson,1.0,Overseas,Left-arm fast-medium,Left-hand bat,L,29.0,0.0,87.0,68.0,7.62,21.91,94.0,20.0,100.0,4.7,2.8,KKR,True,False
Alzarri Joseph,1.0,Overseas,Right-arm fast-medium,Right-hand bat,R,29.0,0.0,118.0,97.0,9.0,26.99,253.0,38.0,90.91,6.66,0.0,None,True,False
Sean Abbott,1.0,Overseas,Right-arm fast-medium,Right-hand bat,R,33.0,0.0,89.0,62.0,8.75,21.17,346.0,35.0,125.0,9.89,0.0,None,True,False
Glenn Maxwell,1.0,Overseas,Right-arm offbreak,Right-hand bat,R,37.0,0.0,51.0,70.0,7.58,27.41,2363.0,96.0,150.0,24.61,4.2,PBKS,True,False
Moeen Ali,1.0,Overseas,Right-arm offbreak,Left-hand bat,L,38.0,0.0,86.0,106.0,8.0,23.71,1697.0,105.0,109.52,16.16,2.0,KKR,True,False
Anrich Nortje,1.0,Overseas,Right-arm Fast,Right-hand bat,R,32.0,0.0,71.0,60.0,8.5,26.62,105.0,20.0,100.0,5.25,6.5,KKR,True,False
Chris Jordan,1.0,Overseas,Right-arm fast-medium,Right-hand bat,R,37.0,0.0,121.0,111.0,8.75,26.84,780.0,76.0,119.09,10.26,0.0,None,True,False
Rassie van der Dussen,1.0,Overseas,Right-arm Leg-Break,Right-hand bat,R,36.0,0.0,0.0,0.0,12.0,99.0,2062.0,71.0,121.62,29.04,0.0,None,False,False
Harry Brook,1.0,Overseas,Right-arm medium,Right-hand bat,R,26.0,0.0,0.0,0.0,12.0,99.0,830.0,38.0,123.22,21.84,6.25,DC,True,False
Quinton de Kock,1.0,Overseas,,,,0.0,,0.0,0.0,12.0,99.0,3124.0,118.0,123.61,26.47,3.6,KKR,True,False
Naveen ul Haq,1.0,Overseas,Right-arm medium-fast,Right-hand bat,R,26.0,0.0,119.0,100.0,9.29,26.9,174.0,33.0,50.0,5.27,0.0,None,False,False
Gus Atkinson,1.0,Overseas,Right-arm medium,Right-hand bat,R,27.0,0.0,38.0,36.0,7.94,27.79,65.0,15.0,100.0,4.33,0.0,None,True,False
Tymal Mills,1.0,Overseas,Left-arm Fast,Right-hand bat,R,32.0,0.0,77.0,60.0,8.5,25.61,87.0,21.0,100.0,4.14,0.0,None,True,False
Faf du Plessis,1.0,Overseas,Right-arm Leg-Break,Right-hand bat,R,41.0,0.0,0.0,0.0,12.0,99.0,3604.0,108.0,137.36,33.37,2.0,DC,True,False
Mustafizur Rahman,1.0,Overseas,Left-arm fast-medium,Left-hand bat,L,30.0,0.0,113.0,90.0,7.75,21.7,49.0,20.0,50.0,2.45,0.0,None,True,False
Josh Inglis,1.0,Overseas,,Right-hand bat,R,30.0,1.0,0.0,0.0,12.0,99.0,1531.0,67.0,136.84,22.85,2.6,PBKS,True,False
Mujeeb Ur Rahman,1.0,Overseas,Right-arm offbreak,Right-hand bat,R,24.0,0.0,85.0,80.0,7.0,25.49,167.0,23.0,100.0,7.26,0.0,None,True,False
Adam Zampa,1.0,Overseas,Right-arm Leg-Break,Right-hand bat,R,33.0,0.0,115.0,81.0,7.33,20.96,80.0,23.0,77.78,3.48,2.4,SRH,True,False
FazalHaq Farooqi,1.0,Overseas,Left-arm medium,Right-hand bat,R,25.0,0.0,139.0,103.0,7.64,20.55,43.0,22.0,50.0,1.95,0.0,None,False,False
Liam Livingstone,1.0,Overseas,Right-arm Leg-Break,Right-hand bat,R,32.0,0.0,47.0,62.0,9.0,28.64,1888.0,83.0,137.04,22.75,8.75,RCB,True,False
Rahmanullah Gurbaz,1.0,Overseas,Left-arm Chinaman,Right-hand bat,R,23.0,1.0,1.0,1.0,2.4,2.0,3235.0,133.0,132.57,24.32,2.0,KKR,True,False
Rilee Rossouw,1.0,Overseas,Right-arm offbreak,Left-hand bat,L,36.0,0.0,1.0,1.0,3.0,3.0,2436.0,105.0,118.18,23.2,0.0,None,False,False
Thomas Curran,1.0,Overseas,Right-arm fast-medium,Right-hand bat,R,29.0,0.0,55.0,51.0,8.0,27.42,1024.0,61.0,116.67,16.79,0.0,None,False,False
Umesh Yadav,1.0,Indian,Right-arm fast-medium,Right-hand bat,R,38.0,0.0,13.0,17.0,9.5,35.77,43.0,9.0,90.91,4.78,0.0,None,True,False
Venkatesh Iyer,1.0,Indian,Right-arm medium,Left-hand bat,L,30.0,0.0,11.0,18.0,9.59,36.27,1285.0,54.0,140.0,23.8,23.75,KKR,True,False
William ORourke,1.0,Overseas,Right-arm Fast,Right-hand bat,R,24.0,0.0,28.0,20.0,7.75,24.36,26.0,4.0,47.72,6.5,0.0,None,True,False
Kyle Mayers,1.0,Overseas,Right-arm medium,Left-hand bat,L,33.0,0.0,43.0,77.0,8.0,32.56,2546.0,105.0,138.46,24.25,0.0,None,True,False
Jason Behrendorff,1.0,Overseas,Left-arm fast-medium,Right-hand bat,R,35.0,0.0,77.0,57.0,8.0,21.91,35.0,10.0,67.5,3.5,0.0,None,True,False
Michael Bracewell,1.0,Overseas,Right-arm offbreak,Left-hand bat,L,34.0,0.0,40.0,51.0,9.25,33.92,770.0,49.0,109.52,15.71,0.0,None,True,False
David Miller,1.0,Overseas,Right-arm offbreak,Left-hand bat,L,36.0,0.0,0.0,0.0,12.0,99.0,2525.0,119.0,117.5,21.22,7.5,LSG,True,False
Daniel Sams,1.0,Overseas,Left-arm fast-medium,Right-hand bat,R,33.0,0.0,106.0,84.0,8.88,25.13,1034.0,70.0,119.52,14.77,0.0,None,True,False
Rachin Ravindra,1.0,Overseas,Slow left-arm orthodox,Left-hand bat,L,26.0,0.0,22.0,24.0,8.0,18.32,1070.0,56.0,133.33,19.11,4.0,CSK,False,False
Sam Billings,1.0,Overseas,Right-arm medium,Right-hand bat,R,34.0,1.0,0.0,0.0,12.0,99.0,2312.0,109.0,120.69,21.21,0.0,None,True,False
Akeal Hosein,1.0,Overseas,Slow left-arm orthodox,Left-hand bat,L,32.0,0.0,154.0,153.0,7.25,26.08,747.0,83.0,100.0,9.0,0.0,None,True,False
Mark Chapman,1.0,Overseas,Slow left-arm orthodox,Left-hand bat,L,31.0,0.0,0.0,2.0,5.25,17.0,1548.0,67.0,113.81,23.1,0.0,None,False,False
Kyle Jamieson,1.0,Overseas,Right-arm medium,Right-hand bat,R,30.0,0.0,20.0,16.0,9.16,26.15,19.0,6.0,21.43,3.17,0.0,None,True,False
Daniel Worrall,1.0,Overseas,Right-arm fast-medium,Right-hand bat,R,34.0,0.0,32.0,31.0,7.25,24.56,14.0,8.0,50.0,1.75,0.0,None,False,False
